Pytanie;Poprawna_odpowiedz;Wyjaśnienie
" Zawodnik wykonuje kopnięcie na JODAN zgodnie z 6 kryteriami punktowania. Przeciwnik podnosi rękę, aby przechwycić kopnięcie i wtedy jego ręka uderza własną twarz, to Sędzia Prowadzący może dać IPPON, gdyż kopnięcie nie było efektywnie zablokowane.";0;"Technika spelnia kryteria"
" Drużyna męska może walczyć tylko z dwoma zawodnikami.";0;"3.6.3 Minimalny skład drużyny Mistrzostw Polski Seniorów: kobiety 3 + 1 dodatkowy, mężczyźni to 5 + 2 dodatkowych 3.6.4 Minimalny skład drużyny pozostałych zawodów: kobiety 3 + 1 dodatkowy, mężczyźni 3 + 1 dodatkowy."
" Autoryzowane reklamy dla WKF można umieszczać na lewym rękawie Karate-Gi.";1;"patrz: Zdjęcie, strona 8"
" Federacje Narodowe nie mogą umieszczać reklam na Karate-Gi zawodnika.";0;"Jest wyznaczone miejsce na emblemat Federacji Narodowej na Karate-Gi zawodnika"
" Zawodnik Kumite, który otrzymuje KIKEN nie może walczyć dalej w tym turnieju.";0;"6.4 Wycofanie przez KIKEN oznacza dyskwalifikację Zawodników z danej kategorii, co nie wpływa jednak na uczestnictwo w innej kategorii"
" Walka dodatkowa jest stosowana tylko w meczach drużynowych.";0;"Nie tylko np. - 12.3 Ustalanie zwycięzcy grupy Round-Robin i rozstrzyganie remisów w zawodach indywidualnych - ostatni punkt - 8) Dodatkowa walka pozwalająca na HANTEI"
" KANSA powinien zagwizdać gwizdkiem, kiedy Sędzia Prowadzący daje punkt jednemu zawodnikowi a MUBOBI drugiemu.";1;"15.5.4. W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem: Sędzia Prowadzący przyznaje punkt Zawodnikowi i MUBOBI drugiemu"
" Poważne naruszenie postępowania, dyscypliny lub złośliwe zachowanie zasługuje na HANSOKU-CHUI.";0;"SHIKAKU -  Jest to dyskwalifikacja z całego turnieju, w tym z każdej kolejnej kategorii, w której sprawca mógł być zarejestrowany. SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate."
" W międzynarodowych zawodach Sędzia Prowadzący nie może być tej samej narodowości, jak którykolwiek z zawodników, ale może jeden z sędziów bocznych, o ile obu Trenerów się zgodzi.";0;"W przepisach WKF - 4.1.2 Sędzia Prowadzący, Sędziowie Boczni, Kontroler Meczu, Kontroler Punktacji i 2 Kontrolerów Video Review walki Kumite nie mogą być tej samej narodowości4 ani z tej samej Narodowej Federacji, co walczący Zawodnicy, jak również nie mogą mieć żadnego konfliktu interesu. Obowiązkiem każdego Sędziego jest osobiste zgłaszanie wszelkich możliwych konfliktów interesów przed rozpoczęciem walki lub meczu."
" Kontroler Meczu (KANSA) ustawia się razem z Sędzią Prowadzącym i Sędziami Bocznymi.";0;"7.2 Dla każdej rundy odbędzie się ceremonia ukłonu, rozpoczynająca się od skierowania przez Sędziego Prowadzącego Zawodników i Sędziów Bocznych twarzą do publiczności i ukłonu SHOMEN NI REI, a następnie ukłonu do siebie nawzajem, OTAGAI NI REI. Na koniec walki (walk) ceremonia ukłonu odbywa się w odwrotnej kolejności."
" Trenerzy będą siedzieć na krzesłach na zewnątrz strefy bezpieczeństwa, po odpowiednich stronach pola walki twarzą do stolika sędziowskiego.";0;"1.7 Trenerzy będą siedzieć poza strefą bezpieczeństwa, po odpowiednich stronach Tatami w kierunku oficjalnego stolika. W przypadkach, gdy ustawienie Tatami sprawia, że usytuowanie Trenerów jest niepraktyczne może zmienić ich ustawienie po obu stronach oficjalnego stołu lub za swoimi zawodnikami (po bokach). Jeśli jest stosowane Video Review, należy zapewnić Kontrolerów Trenerów."
" KANSA nie musi reagować, jeśli Sędzia Prowadzący daje punkt jednemu zawodnikowi i wyolbrzymianie drugiemu.";0;"5.5.4. W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem: ędzia Prowadzący punkt Zawodnikowi i ostrzeżenie za wyolbrzymianie drugiemu"
" W meczach drużynowych Skład Sędziowski będzie dokonywał rotacji przy każdej walce, przy założeniu, że wszyscy jego członkowie mają odpowiednią kwalifikację.";1;"4.4.5 W meczach drużynowych, przy spełnieniu warunku, że wszyscy Sędziowie posiadają wymagane kwalifikacje, będzie następować rotacja pozycji Sędziego Prowadzącego i Sędziów Bocznych przed każdą walką. Jeżeli jeden lub więcej Sędziów Bocznych nie posiada wymaganych kwalifikacji do prowadzenia walki jako Sędzia Prowadzący, pozostaną na swoich pozycjach jako Sędziowie Boczni i będą pomijani podczas rotacji."
" W meczach drużynowych Skład Sędziowski będzie dokonywał rotacji tylko w walkach o medale.";0;"4.4.5 W meczach drużynowych, przy spełnieniu warunku, że wszyscy Sędziowie posiadają wymagane kwalifikacje, będzie następować rotacja pozycji Sędziego Prowadzącego i Sędziów Bocznych przed każdą walką. Jeżeli jeden lub więcej Sędziów Bocznych nie posiada wymaganych kwalifikacji do prowadzenia walki jako Sędzia Prowadzący, pozostaną na swoich pozycjach jako Sędziowie Boczni i będą pomijani podczas rotacji."
" Sędzia Prowadzący może poruszać się po całym tatami, łącznie ze strefą bezpieczeństwa.";1;"1.12 Każdy Sędzia Boczny (FUKUSHIN) będzie siedział w narożniku Tatami w strefie bezpieczeństwa. Sędzia Prowadzący może poruszać się po całym Tatami, włączając strefę bezpieczeństwa, w której siedzą Sędziowie Boczni. Każdy Sędzia Boczny będzie wyposażony w czerwoną i niebieską flagę lub elektroniczne urządzenie sygnalizacyjne."
" Zawodniczki muszą posiadać ochraniacz na piersi.";0;"2.2.17 Następujący sprzęt ochronny jest obowiązkowy: Dodatkowo dla Zawodników kategorii U14 dopuszczone , ale nie obowiązkowe jestużywanie zatwierdzonego przez WKF kasku ochronnego i zewnętrznego ochraniaczaklatki piersiowej."
" Zawodniczki nie muszą posiadać ochraniacza na piersi, jeśli mają ochraniacz na korpus.";1;""
" Pasy czerwone i niebieskie nie mogą zawierać żadnych osobistych haftów ani oznaczeń.";1;"2.2.6 Zawodnicy lub Drużyny muszą nosić czerwony (AKA) lub niebieski pas (AO), zgodnie z losowaniem, bez osobistych haftów, reklam ani innych oznaczeń niż zwyczajowy znak producenta. Podczas walki nie mogą być noszone pasy oznaczające stopień."
" Kiedy sytuacja wydaje się zasługiwać na dyskwalifikację, Sędzia Prowadzący może wezwać jednego lub więcej sędziów na krótką konsultację (FUKUSHIN SHUGO) przed ogłoszeniem jakiejkolwiek decyzji.";1;"15.3.1 Uprawnienia Sędziego Prowadzącego są następujące: 6. Ogłaszanie FUKUSHIN SHUGO (wezwanie Sędziów Bocznych), gdy w opinii Sędziego Prowadzącego jest konieczne przyznanie SHIKKAKU, lub ma zastosowanie reguła 10 sekund, gdy lekarz chce przerwać walkę lub bezpośrednio przed przyznaniem HANSOKU."
" Zawodnicy muszą nosić białe Karate-Gi bez haftów osobistych.";1;"2.2.4 Zawodnicy lub Drużyny muszą nosić czerwony (AKA) lub niebieski pas (AO), zgodnie zlosowaniem, bez osobistych haftów, reklam ani innych oznaczeń niż zwyczajowy znakproducenta. Podczas walki nie mogą być noszone pasy oznaczające stopień."
" Osobiste wyhaftowania na Karate-Gi są dopuszczalne tylko w walkach o medale.";0;"2.2.1 Zawodnicy muszą nosić białe Karategi do karate bez pasków, lamówek lub osobistych haftów, inne niż wyraźne dozwolone przez Zarząd PUK"
" Jeśli kontakt jest uznany przez Sędziego Prowadzącego za zbyt mocny, ale nie zmniejsza szans Zawodnika na zwycięstwo, będzie przyznane ostrzeżenie (CHUI).";1;"10.2. CHUI ostrzeżenie jest przyznawane, maksymalnie trzykrotnie, za mniejsze wykroczenia, które nie zmniejszają szans na wygraną drugiego Zawodnika"
" Jakakolwiek technika skutkująca kontuzją, o ile nie jest spowodowana przez poszkodowanego powoduje ostrzeżenie lub karę.";1;"10.4.2 Kontakt powodujący kontuzję: Każda technika, które powoduje kontuzję, możespowodować ostrzeżenie lub karę, o ile nie jest spowodowana przez poszkodowanego.Zawodnicy muszą wykonywać wszystkie techniki z kontrolą i dobrą formą. Jeśli nieumieją, to niezależnie od źle użytej techniki, ostrzeżenie lub kara muszą zostać nałożone"
" Oczywista przesadna reakcja na kontakt otrzyma CHUI.";0;"10.4.4. Za oczywiste wyolbrzymianie będzie przyznane HANSOKU CHUI."
" Sędziowie Boczni nie mogą wskazywać punktu ani ostrzeżenia zanim Sędzia Prowadzący nie zatrzyma walki.";0;"15.4.1 Uprawnienia Sędziów Bocznych (FUKUSHIN) są następujące: 1. Wskazywanie punktów z własnej inicjatywy."
" Widoczne okazanie wyolbrzymiania otrzyma HANSOKU.";0;"10.4.4. Za oczywiste wyolbrzymianie będzie przyznane HANSOKU CHUI."
" Jakikolwiek wypadek udawania kontuzji, jakkolwiek lekki otrzyma minimalne ostrzeżenie CHUI.";1;"10.4.5 Udawanie kontuzji: Każdy przypadek udawania kontuzji, nieważne jak lekki, otrzyma minimalne ostrzeżenie CHUI, natomiast oczywisty pokaz udawania będzie powodował przyznanie HANSOKU CHUI. "
" Widoczne okazanie udawania takie jak zataczanie się, upadanie na ziemię, wstawanie i upadanie ponowne i tym podobne otrzyma bezpośrednio SHIKKAKU.";1;"10.4.5 Udawanie kontuzji: Każdy przypadek udawania kontuzji, nieważne jak lekki, otrzymaminimalne ostrzeżenie CHUI, natomiast oczywisty pokaz udawania będzie powodowałprzyznanie HANSOKU CHUI. Poważniejsze udawanie, taka jak zataczanie się, upadek napodłogę, wstawanie i ponownie upadanie itd. będzie powodować bezpośrednioprzyznanie SHIKKAKU. Jakiekolwiek udawanie kontuzji spowodowanej techniką, która wrzeczywistości została uznana przez sędziów za punkt, skutkuje co najmniej HANSOKUCHUI."
" Jakiekolwiek udawanie kontuzji na skutek techniki, która w rzeczywistości została określona przez sędziów jako punktowana będzie skutkować minimum HANSOKU-CHUI.";1;"Jakiekolwiek udawanie kontuzji spowodowanej techniką, która w rzeczywistości została uznana przez sędziów za punkt, skutkuje co najmniej HANSOKU CHUI"
" Jeśli zawodnik punktuje z więcej niż jedną techniką w kombinacji przed YAME, Sędziowie Boczni muszą wskazać technikę wyżej punktowaną niezależnie od kolejności tych technik.";1;"8.3 Tylko pierwsza prawidłowo wykonana technika z wymiany będzie punktowana, z wyjątkiem skutecznej kombinacji technik, w którym to przypadku liczy się technika z najwyższą wartością punktową, niezależnie od kolejności technik w kombinacji."
" W meczach drużynowych, jeśli po zakończeniu walki dodatkowej jest remis bez SENSHU lub brak punktów, to mecz zostanie rozstrzygnięty przez HANTEI.";0;"ZAŁĄCZNIK 6: TABELA PODSUMOWANIA KRYTERIÓW ZWYCIĘSTWA I ROZSTRZYGANIA REMISÓW"
" JOGAI występuje, gdy zawodnik wychodzi z pola walki i nie jest to spowodowane przez przeciwnika.";1;"9.1.1. Wyjście poza pole walki (JOGAI) nie spowodowane przez przeciwnika lub nie po zdobyciu punktu."
" Minimalnym ostrzeżeniem za uciekanie, unikanie walki lub marnowanie czasu podczas ATOSHI BARAKU jest HANSOKU-CHUI.";1;"10.4.16Unikanie walki odnosi się do sytuacji, w której Zawodnik usiłuje uniemożliwićprzeciwnikowi zdobycie punktów poprzez zachowanie marnujące czas, takie jak ciągłewycofywanie się bez skutecznej kontry, trzymanie, klincz lub opuszczenie pola walki,zamiast dać przeciwnikowi szansę na zdobycie punktu. Unikanie walki w ciągu ostatnich15 sekund walki (ATO SHIBARAKU) powoduje przyznanie co najmniej HANSOKU CHUI iutratę SENSHU."
"Oś obrotu przy rzucie nie może być ponad poziomem bioder rzucającego i przeciwnik musi być cały czas trzymany tak aby było możliwe bezpieczne lądowanie.";1;"10.4.8 Oś rzutu nie może znajdować się powyżej poziomu bioder rzucającego, a przeciwnikmusi być trzymany przez cały czas, aby można było bezpiecznie wylądować. Rzuty przezramię są wyraźnie zabronione, podobnie jak tak zwany rzuty „poświęcenia”."
"Trzymanie Karate Gi przeciwnika nie jest dozwolone, aby zrobić bezpieczny pad.";0;"10.4.12Trzymanie w celu powstrzymania upadku: trzymanie się Karategi przeciwnika jedną ręką jest dozwolone w celu amortyzacji upadku."
"KANSA nie musi reagować, jeśli Sędzia Prowadzący daje punkt za technikę wykonaną po końcu czasu walki.";0;"15.5.4 W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem:7. Sędzia Prowadzący przyznaje punkt za technikę wykonaną po YAME lub poupływie czasu"
"YUKO ma wartość 1 punktu.";1;"8.6 Przy przyznawaniu punktów stosowana jest następująca skala: 1. YUKO (1 punkt) "
"WAZA-ARI ma wartość 2 punktów.";1;"8.6 Przy przyznawaniu punktów stosowana jest następująca skala: 2. WAZA-ARI (2 punkty)"
"IPPON ma wartość 3 punktów.";1;"8.6 Przy przyznawaniu punktów stosowana jest następująca skala: 3. IPPON (3 punkty)"
"Obowiązkiem Kontrolera Meczu jest upewnić się przed każdym meczem lub walką, że zawodnicy noszą zaaprobowany sprzęt.";1;"15.5.3 Przed rozpoczęciem każdego meczu lub walki Kontroler Meczu musi się upewnić, że sprzęt Zawodników i Karategi są zgodne z przepisami zawodów PUK. "
"Obowiązkiem Menadżera Tatami jest upewnić się przed każdym meczem lub walką, że zawodnicy noszą zaaprobowany sprzęt.";0;"15.5.3 Przed rozpoczęciem każdego meczu lub walki Kontroler Meczu musi się upewnić, że sprzęt Zawodników i Karategi są zgodne z przepisami zawodów PUK. "
"Trenerzy muszą przedstawić swoje identyfikatory razem z identyfikatorami zawodnika lub drużyny do stolika sędziowskiego.";0;"3.7.3 Trenerzy muszą okazać swoją akredytację wraz z akredytacją swojego Zawodnika lub Drużyny do Kontrolera Trenerów/Asystenta Kansy/Menadżera Tatami."
"WAZA-ARI jest przyznawane za kopnięcia na CHUDAN.";1;"8.6. WAZA-ARI (2 punkty) jest przyznawane za kopnięcia CHUDAN"
"YUKO jest przyznawane za dowolne TSUKI lub UCHI wykonane na dowolny z siedmiu obszarów punktowanych na zawodnika, który stoi lub który jest przewrócony nie mając tułowia na podłożu.";0;"UKO (1 punkt) jest przyznawane za Tsuki (uderzenie proste ręką) lub Uchi (uderzenie okrężne ręką) w punktowany obszar"
"IPPON jest przyznawane za kopnięcia na JODAN i techniki punktowane, wykonane na przeciwniku, który został rzucony, upadł sam lub w inny sposób znalazł się w pozycji leżącej z tułowiem dotykającym podłoża.";0;"8.6. IPPON (3 punkty) jest przyznawane za kopnięcia JODAN lub jakąkolwiek technikę wykonaną na przeciwniku, którego jakakolwiek część ciała inna niż stopy ma kontakt z matą – z wyjątkiem Hiza-Gamae (Jedno kolano dotykające maty podczas wykonania techniki)"
"Walki indywidualne nie mogą się kończyć remisem.";0;"12.2.5 Indywidualne walki nie mogą być uznane za remis, z wyjątkiem zawodów drużynowych lub zawodów Round- Robin, kiedy walka kończy się równymi punktami lub brakiem punktów i żaden z Zawodników nie uzyskał SENSHU, w którym to przypadku Sędzia Prowadzący ogłosi remis (HIKIWAKE)."
"Pasywność może być przyznana Zawodnikowi w dowolnym czasie.";0;"9.1.1. Pasywność – nieangażowanie się w walkę (nie może być przyznane w pierwszych 15 sekundach walki oraz gdy jest mniej niż 15 sekund do końca walki lub prowadzącemu w walce przez punkty lub SENSHU)"
"Pasywność nie może być przyznana w trakcie pierwszych 15 sekund walki.";1;"Pasywność – nieangażowanie się w walkę (nie może być przyznane w pierwszych 15 sekundach walki oraz gdy jest mniej niż 15 sekund do końca walki lub prowadzącemu w walce przez punkty lub SENSHU)"
"Symulowane ataki głową, kolanami lub łokciami są wykroczeniami.";1;"9.1.1 Następujące zachowania są zabronione: 15. Symulowane lub rzeczywiste ataki głową, kolanami lub łokciami."
"Unikanie walki w ciągu ostatnich 15 sekund walki (ATO SHIBARAKU) będzie skutkować minimum HANSOKU-CHUI i utratą SENSHU.";1;"10.4.16Unikanie walki odnosi się do sytuacji, w której Zawodnik usiłuje uniemożliwićprzeciwnikowi zdobycie punktów poprzez zachowanie marnujące czas, takie jak ciągłewycofywanie się bez skutecznej kontry, trzymanie, klincz lub opuszczenie pola walki,zamiast dać przeciwnikowi szansę na zdobycie punktu. Unikanie walki w ciągu ostatnich15 sekund walki (ATO SHIBARAKU) powoduje przyznanie co najmniej HANSOKU CHUI iutratę SENSHU."
"Główny trener delegacji może protestować odnośnie werdyktów do członków składu sędziowskiego.";0;"13.1.2 Jeżeli procedura sędziowania wydaje się sprzeczna z przepisami, tylko Trener Zawodnika lub jego/jej oficjalny przedstawiciel mogą złożyć protest."
"W Kumite dwie maty tatami są odwrócone czerwoną stroną do góry w odległości jednego metra od środka maty, by stworzyć granicę między zawodnikami.";1;"1.9 Dwa pola na macie są odwrócone czerwoną (lub w innym kolorze) stroną do góry, w odległości 1 metra od środka maty, by stworzyć przestrzeń rozdzielającą zawodników. W momencie rozpoczynania lub wznawiania waliki, zawodnicy będą stać naprzeciw siebie, na środku przedniej krawędzi tych mat."
"Wiązania bluzy muszą być zawiązane.";1;"2.2.8 Bluzy bez wiązań nie mogą być używane. Wiązania od bluzy muszą być zawiązane na początku walki. Jeśli są oderwane w trakcie walki, Zawodnik nie musi zmieniać bluzy."
"Na początku walki bluzy bez wiązań mogą być używane.";0;"2.2.8 Bluzy bez wiązań nie mogą być używane. Wiązania od bluzy muszą być zawiązane na początku walki. Jeśli są oderwane w trakcie walki, Zawodnik nie musi zmieniać bluzy."
"W konkurencji indywidualnej zawodnik może być zastąpionym innym, po odbyciu losowania.";0;"Nie może"
"W walkach o medale Trenerzy płci męskiej muszą nosić ciemny garnitur, koszulę i krawat.";1;"2.3.3 W przypadku walk o medale oficjalnych imprez PUK, jeżeli zostanie to określone wregulaminie zawodów oraz jeśli jest osobny blok finałowy, mężczyźni są zobowiązaninosić ciemny garnitur, buty okrywające stopy, koszulę i krawat, a kobiety mogą wybraćmiędzy sukienkę, spodniami z żakietem lub garsonką w ciemnych kolorach i buty."
"W walkach o medale Trenerki płci żeńskiej mogą wybrać pomiędzy sukienką, spodniami z marynarką lub kombinacją marynarki i spódnicy w ciemnych kolorach.";1;"2.3.3 W przypadku walk o medale oficjalnych imprez PUK, jeżeli zostanie to określone w regulaminie zawodów oraz jeśli jest osobny blok finałowy, mężczyźni są zobowiązani nosić ciemny garnitur, buty okrywające stopy, koszulę i krawat, a kobiety mogą wybrać między sukienkę, spodniami z żakietem lub garsonką w ciemnych kolorach i buty."
"W walkach medalowych coachowie płci żeńskiej nie mogą nosić religijnego nakrycia głowy.";0;"2.3.4 Ponadto dozwolone są następujące dodatki do stroju:b) Religijne nakrycie głowy typu aprobowanego przez WKF."
"Zawodnik, który odmawia wykonania poleceń Sędziego Prowadzącego lub demonstruję utratę panowania nad sobą automatycznie otrzyma HANSOKU.";0;"10.4.17 Niestosowanie się do instrukcji: Zawodnik, który odmówi wykonania poleceń Sędziego Prowadzącego lub wykaże utratę panowania nad sobą, automatycznie otrzyma SHIKKAKU. Kara ta może być nałożona przed, w trakcie lub po walce"
"Zawodnicy nie są uprawnieni do przerwy na wypoczynek między walkami o długości standardowego czasu trwania walki.";0;"5.5 Zawodnicy mają prawo do okresu wypoczynku pomiędzy walkami, o długości równej standardowemu czasowi walki. Wyjątkiem od tego jest przypadek zmiany koloru sprzętu, gdzie czas jest wydłużony do pięciu minut. Czas jest liczony od momentu ogłoszenia końca walki (NO KACHI / HIKIWAKE)"
"Pasywność nie może być przyznana, gdy jest mniej niż 15 sekund do końca walki";1;"9.1.1 Następujące zachowania są zabronione: : 10. Pasywność – nieangażowanie się w walkę (nie może być przyznane wpierwszych 15 sekundach walki oraz gdy jest mniej niż 15 sekund do końcawalki lub prowadzącemu w walce przez punkty lub SENSHU)."
"Każde nadmiarowe celebracje, takie jak padania na kolana itp., wyrażanie gestów politycznych lub religijnych podczas lub niezwłocznie po walce lub meczu są zabronione i mogą być przedmiotem kary równej opłacie za protest określonej przez Komitet Wykonawczy.";1;"10.5 Nadmierna celebracja, demonstracja polityczna lub religijna: od Zawodników oczekuje się przestrzegania ceremonii powitania przed i po walce lub meczu. Jakiekolwiek nadmierne celebrowanie, takie jak padanie na kolana itp. wyrażanie poglądów politycznych lub religijnych podczas lub bezpośrednio po walce lub meczu jest zabronione i może podlegać karze grzywny w wysokości określonej przez Komitet Wykonawczy za opłatę za protest"
"Jeśli Zawodnik otrzymuje KIKEN lub SHIKKAKU w rundach Round-robin wszystkie poprzednie walki są anulowane z wyników.";0;"10.7.2 Jeżeli Zawodnik otrzyma KIKEN lub SHIKKAKU, w zawodach Round-Robin wszystkiepoprzednie walki są anulowane, chyba, że jest to ostatnia zaplanowana walkazdyskwalifikowanego Zawodnika, kiedy to wynik walki jest zapisywany w zwykły sposóbbez konsekwencji wynikowych poprzednich walk."
"Chwytanie ramienia lub Karate-Gi przeciwnika jedną ręką jest tylko dozwolone w celu wykonania natychmiastowej techniki lub rzutu.";1;"10.4.11 Chwytanie jedną ręką: Zawodnik może chwycić ramię przeciwnika lub Karategi jedną ręką w celu wykonania rzutu lub bezpośredniej techniki punktowanej – ale nie może trzymać przy technikach kontynuujących."
"Chwytanie przeciwnika dwoma rękami nie jest nigdy dozwolone w trakcie meczu.";0;"10.4.9 Złapanie kopnięcia: Jedynym przypadkiem, w którym można wykonać rzut, trzymającprzeciwnika obiema rękami, jest złapanie kopiącej nogi przeciwnika. Trzymanie sięobiema rękami jest dozwolone tylko wtedy, gdy chwyta się kopiącą nogę przeciwnika wcelu wykonania obalenia oraz trzymając się nogi przeciwnika, a druga ręka chwytaKarategi lub ciało przeciwnika, by powstrzymać upadek."
"Odpowiedzialnością Menadżera Tatami jest wyznaczenie Kontrolera Video Review.";1;"15.2.1 Uprawnienia i obowiązki Menadżerów Tatami są następujące: 5. Wyznaczenie dwóch Sędziów z kwalifikacją PUK Referee A do pełnienia funkcji Kontrolerów Video Review."
"Jeśli liczba IPPON i WAZA-ARI jest równa, decyzja zostanie podjęta przez HANTEI.";0;"ZAŁĄCZNIK 6: TABELA PODSUMOWANIA KRYTERIÓW ZWYCIĘSTWA I ROZSTRZYGANIA REMISÓW"
"W każdej walce indywidualnej, z równym wynikiem i bez SENSHU któregokolwiek Zawodnika, pierwszym kryterium decyzji będzie wyższa liczba IPPON zdobytych w tej walce.";1;"12.2.3 W każdej walce indywidualnej, w której żaden z Zawodników nie zdobył żadnego punktulub wynik jest równy, a żaden z Zawodników nie ma „pierwszej niezrównoważonejprzewagi punktowej”, decyzja zostanie podjęta na podstawie następujących kryterióww podanej kolejności:a) Większa liczba IPPON zdobytych w walceb) Większa liczba WAZA-ARI zdobyta w walce"
"Jeśli jeden Zawodnik ma punkty wskazane przez więcej niż jednego Sędziego Bocznego i punktacja jest różna pomiędzy Sędziami, będzie zastosowana punktacja wyższa.";1;"12.1.3 Jeżeli jeden z Zawodników ma punkt wskazany przez więcej niż jednego Sędziego Bocznego, a punktacja jest różna między Sędziami Bocznymi, zostanie przyznany wyższy punkt. To samo dotyczy sytuacji, gdy na każdego Zawodnika przypada dwóch Sędziów Bocznych z różnymi punktami"
"Menadżer Tatami musi poinformować główny stolik, jeśli Zawodnik został odsunięty od dalszego udziału w konkurencji w oparciu o zasadę 10 sekund.";1;"11.2.4. Menadżer Tatami musi powiadomić stół centralny, gdy Zawodnik został zatrzymany z dalszych rozgrywek na podstawie zasady 10 sekund."
"Kontroler czasu jest odpowiedzialny za uruchomienie 3 minutowego odliczania dla zawodnika, który uległ kontuzji i wymaga interwencji lekarskiej.";0;"11.2.3 Menadżer Tatami jest odpowiedzialny za poinstruowanie osoby mierzącej czas o uruchomieniu odliczania 3 minut. "
"Sędzia Prowadzący zawoła YAME, jeśli zawodnik trzyma przeciwnika i nie wykonuje natychmiastowej techniki lub rzutu.";1;"7.10. W następujących sytuacjach Sędzia Prowadzący zawoła „YAME” i tymczasowo zatrzyma walkę: Gdy Zawodnik chwyta przeciwnika i nie wykonuje natychmiastowej techniki lub rzutu."
"Sędzia Prowadzący wskazuje zwycięzcę przez znak ręką i rozkaz (AKA/AO NO KACHI) i przez tą akcję rozwiązuje każdy remis.";0;"12.2.7 Sędzia Prowadzący wskaże następnie zwycięzcę za pomocą sygnału ręką i komenda (AKA/AO NO KACHI), a także rozstrzygnie w ten sposób ewentualny remis. ( wg mnie powinna być PRAWDA)"
"Jeśli zawodnik trzyma przeciwnika, Sędzia Prowadzący da kilka sekund zawodnikowi na wykonanie rzutu lub techniki.";0;"7.10. W następujących sytuacjach Sędzia Prowadzący zawoła „YAME” i tymczasowo zatrzyma walkę:  Gdy Zawodnik chwyta przeciwnika i nie wykonuje natychmiastowej techniki lub rzutu."
"Trener / Przedstawiciel Narodowej Federacji zażąda oficjalnego protestu od Menadżera Tatami.";1;"13.1.2 Jeżeli procedura sędziowania wydaje się sprzeczna z przepisami, tylko Trener Zawodnika lub jego/jej oficjalny przedstawiciel mogą złożyć protest"
"Sędzia Prowadzący może zatrzymać mecz i dać punkt bez opinii Sędziów Bocznych.";0;"Sam nie może. 8.1 Punkt jest przyznany Zawodnikowi, gdy dwóch lub więcej Sędziów Bocznych wskazuje punkt lub gdy obaj Kontrolerzy Video Review potwierdzą punkt, po zgłoszeniu przez Trenera Video Review."
"Jeśli Sędzia Prowadzący nie woła doktora w sytuacji zasady 10 sekund, KANSA musi zagwizdać gwizdkiem.";1;"15.5.4 W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem: 14. Sędzia Prowadzący nie wzywa lekarza w przypadku zasady 10 sekund"
"Drużyna zwycięska to taka, która ma więcej zwycięstw w meczach, wyłączając te wygrane przez SENSHU.";0;"ZAŁĄCZNIK 6: TABELA PODSUMOWANIA KRYTERIÓW ZWYCIĘSTWA I ROZSTRZYGANIA REMISÓW"
"Czerwone i niebieskie pasy nie mogą być dłuższe niż 3/4 długości uda.";1;"2.2.7 Czerwone i niebieskie pasy muszą mieć po około szerokość 5 cm szerokości i długość wystarczającą, aby 15 cm pozostawało z każdej strony węzła, ale nie dłuższą niż 3/4 długości uda."
"Niepowodzenie Trenera / Przedstawiciela Narodowej Federacji w dostarczeniu protestu na czas może skutkować jego odrzuceniem.";1;"13.1.7 Niezłożenie protestu przez Trenera w terminie, może skutkować jego odrzuceniem, jeżeli takie opóźnienie w ocenie Komisji Odwoławczej jest bezzasadne i utrudnia przebieg zawodów."
"Właściwą karą za udawanie kontuzji, gdy sędziowie ustalili, że technika była de facto punktowana, jest HANSOKU.";0;"10.4.5 Udawanie kontuzji: Każdy przypadek udawania kontuzji, nieważne jak lekki,otrzyma minimalne ostrzeżenie CHUI, natomiast oczywiste pokaz udawania6 będziepowodował przyznanie HANSOKU CHUI. Poważniejsze udawanie7, taka jak zataczaniesię, upadek na podłogę, wstawanie i ponownie upadanie itd. będzie powodowaćbezpośrednio przyznanie SHIKKAKU. Jakiekolwiek udawanie kontuzji spowodowanejtechniką, która w rzeczywistości została uznana przez sędziów za punkt, skutkuje conajmniej HANSOKU CHUI."
"Informacja o oficjelach implikowanych w proteście jest uzupełniana przez Menadżera Tatami.";1;"13.1.8 Menadżer Tatami uzupełni wszelkie informacje dotyczące zaangażowanych Sędziów i natychmiast przekaże wypełniony formularz protestu przedstawicielowi Komisji Odwoławczej. "
"Dyskwalifikacja przez KIKEN oznacza, że jeden z zawodników jest zdyskwalifikowany z tej kategorii, chociaż nie wpływa to na jego udział w innej kategorii.";1;"6.4 Wycofanie przez KIKEN oznacza dyskwalifikację Zawodników z danej kategorii, co nie wpływa jednak na uczestnictwo w innej kategorii"
